Year,Month,Category,Forecast_Demand
2025,1,Body Cream,4910
2025,2,Body Cream,4949
2025,3,Body Cream,4989
2025,4,Body Cream,5028
2025,5,Body Cream,5069
2025,6,Body Cream,5109
2025,7,Body Cream,5150
2025,8,Body Cream,5191
2025,9,Body Cream,5232
2025,10,Body Cream,5274
2025,11,Body Cream,5316
2025,12,Body Cream,5358
2025,1,Body Lotion,5291
2025,2,Body Lotion,5333
2025,3,Body Lotion,5376
2025,4,Body Lotion,5419
2025,5,Body Lotion,5462
2025,6,Body Lotion,5505
2025,7,Body Lotion,5549
2025,8,Body Lotion,5594
2025,9,Body Lotion,5638
2025,10,Body Lotion,5683
2025,11,Body Lotion,5728
2025,12,Body Lotion,5774
2025,1,Body Soap,5080
2025,2,Body Soap,5121
2025,3,Body Soap,5162
2025,4,Body Soap,5203
2025,5,Body Soap,5244
2025,6,Body Soap,5286
2025,7,Body Soap,5328
2025,8,Body Soap,5371
2025,9,Body Soap,5414
2025,10,Body Soap,5457
2025,11,Body Soap,5500
2025,12,Body Soap,5544
2025,1,Body Splash,4975
2025,2,Body Splash,5015
2025,3,Body Splash,5055
2025,4,Body Splash,5095
2025,5,Body Splash,5136
2025,6,Body Splash,5177
2025,7,Body Splash,5218
2025,8,Body Splash,5259
2025,9,Body Splash,5301
2025,10,Body Splash,5344
2025,11,Body Splash,5386
2025,12,Body Splash,5429
2025,1,Conditioner,5070
2025,2,Conditioner,5110
2025,3,Conditioner,5151
2025,4,Conditioner,5192
2025,5,Conditioner,5234
2025,6,Conditioner,5275
2025,7,Conditioner,5318
2025,8,Conditioner,5360
2025,9,Conditioner,5403
2025,10,Conditioner,5446
2025,11,Conditioner,5489
2025,12,Conditioner,5533
2025,1,Eye Cream,6384
2025,2,Eye Cream,6435
2025,3,Eye Cream,6487
2025,4,Eye Cream,6538
2025,5,Eye Cream,6591
2025,6,Eye Cream,6643
2025,7,Eye Cream,6696
2025,8,Eye Cream,6749
2025,9,Eye Cream,6803
2025,10,Eye Cream,6858
2025,11,Eye Cream,6912
2025,12,Eye Cream,6967
2025,1,Face Cream,5593
2025,2,Face Cream,5637
2025,3,Face Cream,5682
2025,4,Face Cream,5728
2025,5,Face Cream,5773
2025,6,Face Cream,5819
2025,7,Face Cream,5866
2025,8,Face Cream,5912
2025,9,Face Cream,5960
2025,10,Face Cream,6007
2025,11,Face Cream,6055
2025,12,Face Cream,6103
2025,1,Face Serum,5211
2025,2,Face Serum,5253
2025,3,Face Serum,5295
2025,4,Face Serum,5337
2025,5,Face Serum,5380
2025,6,Face Serum,5422
2025,7,Face Serum,5466
2025,8,Face Serum,5509
2025,9,Face Serum,5553
2025,10,Face Serum,5597
2025,11,Face Serum,5642
2025,12,Face Serum,5687
2025,1,Facial Cleanser,5113
2025,2,Facial Cleanser,5153
2025,3,Facial Cleanser,5194
2025,4,Facial Cleanser,5236
2025,5,Facial Cleanser,5278
2025,6,Facial Cleanser,5320
2025,7,Facial Cleanser,5362
2025,8,Facial Cleanser,5405
2025,9,Facial Cleanser,5448
2025,10,Facial Cleanser,5491
2025,11,Facial Cleanser,5535
2025,12,Facial Cleanser,5579
2025,1,Hair Mask,4678
2025,2,Hair Mask,4715
2025,3,Hair Mask,4753
