Category,Date,Sales
Hair Serum,1/1/2020,153
Shampoo,1/1/2020,125
Conditioner,1/1/2020,115
Hair Mask,1/1/2020,130
Leave in,1/1/2020,110
Hair Treatment,1/1/2020,118
Oil,1/1/2020,140
Shower Gel,1/1/2020,130
Body Lotion,1/1/2020,160
Body Splash,1/1/2020,115
Roll-on,1/1/2020,125
Body Cream,1/1/2020,137
Body Soap,1/1/2020,143
Face Serum,1/1/2020,128
Face Cream,1/1/2020,132
Facial Cleanser,1/1/2020,125
Makeup Remover,1/1/2020,105
Eye Cream,1/1/2020,130
Immunity Boost,1/1/2020,100
Hair Serum,2/1/2020,122
Shampoo,2/1/2020,118
Conditioner,2/1/2020,108
Hair Mask,2/1/2020,98
Leave in,2/1/2020,100
Hair Treatment,2/1/2020,104
Oil,2/1/2020,130
Shower Gel,2/1/2020,120
Body Lotion,2/1/2020,150
Body Splash,2/1/2020,110
Roll-on,2/1/2020,112
Body Cream,2/1/2020,123
Body Soap,2/1/2020,138
Face Serum,2/1/2020,117
Face Cream,2/1/2020,125
Facial Cleanser,2/1/2020,119
Makeup Remover,2/1/2020,110
Eye Cream,2/1/2020,122
Immunity Boost,2/1/2020,105
Hair Serum,3/1/2020,119
Shampoo,3/1/2020,90
Conditioner,3/1/2020,87
Hair Mask,3/1/2020,85
Leave in,3/1/2020,85
Hair Treatment,3/1/2020,88
Oil,3/1/2020,125
Shower Gel,3/1/2020,115
Body Lotion,3/1/2020,140
Body Splash,3/1/2020,105
Roll-on,3/1/2020,105
Body Cream,3/1/2020,110
Body Soap,3/1/2020,128
Face Serum,3/1/2020,115
Face Cream,3/1/2020,118
Facial Cleanser,3/1/2020,112
Makeup Remover,3/1/2020,101
Eye Cream,3/1/2020,115
Immunity Boost,3/1/2020,110
Hair Serum,4/1/2020,201
Shampoo,4/1/2020,192
Conditioner,4/1/2020,180
Hair Mask,4/1/2020,100
Leave in,4/1/2020,150
Hair Treatment,4/1/2020,140
Oil,4/1/2020,180
Shower Gel,4/1/2020,170
Body Lotion,4/1/2020,160
Body Splash,4/1/2020,135
Roll-on,4/1/2020,145
Body Cream,4/1/2020,155
Body Soap,4/1/2020,163
Face Serum,4/1/2020,150
Face Cream,4/1/2020,153
Facial Cleanser,4/1/2020,148
Makeup Remover,4/1/2020,130
Eye Cream,4/1/2020,142
Immunity Boost,4/1/2020,115
Hair Serum,5/1/2020,213
Shampoo,5/1/2020,220
Conditioner,5/1/2020,218
Hair Mask,5/1/2020,195
Leave in,5/1/2020,190
Hair Treatment,5/1/2020,198
Oil,5/1/2020,210
Shower Gel,5/1/2020,180
Body Lotion,5/1/2020,200
Body Splash,5/1/2020,185
Roll-on,5/1/2020,155
Body Cream,5/1/2020,210
Body Soap,5/1/2020,198
Face Serum,5/1/2020,180
Face Cream,5/1/2020,185
Facial Cleanser,5/1/2020,180
Makeup Remover,5/1/2020,168
Eye Cream,5/1/2020,165
Immunity Boost,5/1/2020,120
Hair Serum,6/1/2020,256
Shampoo,6/1/2020,230
Conditioner,6/1/2020,223
Hair Mask,6/1/2020,199
Leave in,6/1/2020,230
Hair Treatment,6/1/2020,220
Oil,6/1/2020,250
Shower Gel,6/1/2020,220
Body Lotion,6/1/2020,240
Body Splash,6/1/2020,225
Roll-on,6/1/2020,195
Body Cream,6/1/2020,235
Body Soap,6/1/2020,228
Face Serum,6/1/2020,210
Face Cream,6/1/2020,215
Facial Cleanser,6/1/2020,210
Makeup Remover,6/1/2020,202
Eye Cream,6/1/2020,198
Immunity Boost,6/1/2020,125
Hair Serum,7/1/2020,75
Shampoo,7/1/2020,246
Conditioner,7/1/2020,236
Hair Mask,7/1/2020,227
Leave in,7/1/2020,205
Hair Treatment,7/1/2020,215
Oil,7/1/2020,230
Shower Gel,7/1/2020,215
Body Lotion,7/1/2020,250
Body Splash,7/1/2020,232
Roll-on,7/1/2020,220
Body Cream,7/1/2020,245
Body Soap,7/1/2020,240
Face Serum,7/1/2020,225
Face Cream,7/1/2020,230
Facial Cleanser,7/1/2020,225
Makeup Remover,7/1/2020,220
Eye Cream,7/1/2020,215
Immunity Boost,7/1/2020,130
Hair Serum,8/1/2020,319
Shampoo,8/1/2020,288
Conditioner,8/1/2020,260
Hair Mask,8/1/2020,256
Leave in,8/1/2020,240
Hair Treatment,8/1/2020,265
Oil,8/1/2020,280
Shower Gel,8/1/2020,250
Body Lotion,8/1/2020,270
Body Splash,8/1/2020,230
Roll-on,8/1/2020,240
Body Cream,8/1/2020,265
Body Soap,8/1/2020,250
Face Serum,8/1/2020,255
Face Cream,8/1/2020,260
Facial Cleanser,8/1/2020,250
Makeup Remover,8/1/2020,248
Eye Cream,8/1/2020,245
Immunity Boost,8/1/2020,135
Hair Serum,9/1/2020,355
Shampoo,9/1/2020,333
Conditioner,9/1/2020,302
Hair Mask,9/1/2020,307
Leave in,9/1/2020,310
Hair Treatment,9/1/2020,325
Oil,9/1/2020,300
Shower Gel,9/1/2020,270
Body Lotion,9/1/2020,300
Body Splash,9/1/2020,270
Roll-on,9/1/2020,265
Body Cream,9/1/2020,285
Body Soap,9/1/2020,290
Face Serum,9/1/2020,275
Face Cream,9/1/2020,285
Facial Cleanser,9/1/2020,270
Makeup Remover,9/1/2020,260
Eye Cream,9/1/2020,270
Immunity Boost,9/1/2020,140
Hair Serum,10/1/2020,436
Shampoo,10/1/2020,398
Conditioner,10/1/2020,370
Hair Mask,10/1/2020,399
Leave in,10/1/2020,380
Hair Treatment,10/1/2020,395
Oil,10/1/2020,350
Shower Gel,10/1/2020,330
Body Lotion,10/1/2020,350
Body Splash,10/1/2020,310
Roll-on,10/1/2020,315
Body Cream,10/1/2020,345
Body Soap,10/1/2020,360
Face Serum,10/1/2020,340
Face Cream,10/1/2020,345
Facial Cleanser,10/1/2020,335
Makeup Remover,10/1/2020,328
Eye Cream,10/1/2020,340
Immunity Boost,10/1/2020,145
Hair Serum,11/1/2020,533
Shampoo,11/1/2020,450
Conditioner,11/1/2020,403
Hair Mask,11/1/2020,420
Leave in,11/1/2020,415
Hair Treatment,11/1/2020,425
Oil,11/1/2020,420
Shower Gel,11/1/2020,390
Body Lotion,11/1/2020,410
Body Splash,11/1/2020,385
Roll-on,11/1/2020,370
Body Cream,11/1/2020,380
Body Soap,11/1/2020,395
Face Serum,11/1/2020,380
Face Cream,11/1/2020,388
Facial Cleanser,11/1/2020,375
Makeup Remover,11/1/2020,368
Eye Cream,11/1/2020,380
Immunity Boost,11/1/2020,150
Hair Serum,12/1/2020,742
Shampoo,12/1/2020,692
Conditioner,12/1/2020,590
Hair Mask,12/1/2020,498
Leave in,12/1/2020,510
Hair Treatment,12/1/2020,500
Oil,12/1/2020,480
Shower Gel,12/1/2020,450
Body Lotion,12/1/2020,460
Body Splash,12/1/2020,430
Roll-on,12/1/2020,420
Body Cream,12/1/2020,450
Body Soap,12/1/2020,460
Face Serum,12/1/2020,435
Face Cream,12/1/2020,440
Facial Cleanser,12/1/2020,420
Makeup Remover,12/1/2020,415
Eye Cream,12/1/2020,420
Immunity Boost,12/1/2020,160
Hair Serum,1/1/2021,220
Shampoo,1/1/2021,172
Conditioner,1/1/2021,183
Hair Mask,1/1/2021,167
Leave in,1/1/2021,180
Hair Treatment,1/1/2021,145
Oil,1/1/2021,135
Shower Gel,1/1/2021,155
Body Lotion,1/1/2021,210
Body Splash,1/1/2021,160
Roll-on,1/1/2021,180
Body Cream,1/1/2021,165
Body Soap,1/1/2021,205
Face Serum,1/1/2021,140
Face Cream,1/1/2021,170
Facial Cleanser,1/1/2021,120
Makeup Remover,1/1/2021,150
Eye Cream,1/1/2021,125
Immunity Boost,1/1/2021,170
Hair Serum,2/1/2021,254
Shampoo,2/1/2021,226
Conditioner,2/1/2021,233
Hair Mask,2/1/2021,201
Leave in,2/1/2021,210
Hair Treatment,2/1/2021,175
Oil,2/1/2021,165
Shower Gel,2/1/2021,185
Body Lotion,2/1/2021,230
Body Splash,2/1/2021,190
Roll-on,2/1/2021,205
Body Cream,2/1/2021,185
Body Soap,2/1/2021,225
Face Serum,2/1/2021,155
Face Cream,2/1/2021,185
Facial Cleanser,2/1/2021,130
Makeup Remover,2/1/2021,160
Eye Cream,2/1/2021,135
Immunity Boost,2/1/2021,175
Hair Serum,3/1/2021,306
Shampoo,3/1/2021,276
Conditioner,3/1/2021,298
Hair Mask,3/1/2021,270
Leave in,3/1/2021,260
Hair Treatment,3/1/2021,220
Oil,3/1/2021,210
Shower Gel,3/1/2021,230
Body Lotion,3/1/2021,275
Body Splash,3/1/2021,235
Roll-on,3/1/2021,250
Body Cream,3/1/2021,230
Body Soap,3/1/2021,270
Face Serum,3/1/2021,185
Face Cream,3/1/2021,215
Facial Cleanser,3/1/2021,160
Makeup Remover,3/1/2021,190
Eye Cream,3/1/2021,170
Immunity Boost,3/1/2021,180
Hair Serum,4/1/2021,366
Shampoo,4/1/2021,316
Conditioner,4/1/2021,333
Hair Mask,4/1/2021,294
Leave in,4/1/2021,310
Hair Treatment,4/1/2021,265
Oil,4/1/2021,255
Shower Gel,4/1/2021,275
Body Lotion,4/1/2021,320
Body Splash,4/1/2021,280
Roll-on,4/1/2021,295
Body Cream,4/1/2021,275
Body Soap,4/1/2021,315
Face Serum,4/1/2021,225
Face Cream,4/1/2021,245
Facial Cleanser,4/1/2021,195
Makeup Remover,4/1/2021,220
Eye Cream,4/1/2021,195
Immunity Boost,4/1/2021,190
Hair Serum,5/1/2021,392
Shampoo,5/1/2021,390
Conditioner,5/1/2021,397
Hair Mask,5/1/2021,362
Leave in,5/1/2021,340
Hair Treatment,5/1/2021,300
Oil,5/1/2021,290
Shower Gel,5/1/2021,310
Body Lotion,5/1/2021,360
Body Splash,5/1/2021,310
Roll-on,5/1/2021,325
Body Cream,5/1/2021,310
Body Soap,5/1/2021,350
Face Serum,5/1/2021,250
Face Cream,5/1/2021,275
Facial Cleanser,5/1/2021,210
Makeup Remover,5/1/2021,235
Eye Cream,5/1/2021,215
Immunity Boost,5/1/2021,200
Hair Serum,6/1/2021,456
Shampoo,6/1/2021,412
Conditioner,6/1/2021,409
Hair Mask,6/1/2021,460
Leave in,6/1/2021,400
Hair Treatment,6/1/2021,340
Oil,6/1/2021,330
Shower Gel,6/1/2021,350
Body Lotion,6/1/2021,400
Body Splash,6/1/2021,350
Roll-on,6/1/2021,365
Body Cream,6/1/2021,350
Body Soap,6/1/2021,400
Face Serum,6/1/2021,290
Face Cream,6/1/2021,310
Facial Cleanser,6/1/2021,240
Makeup Remover,6/1/2021,265
Eye Cream,6/1/2021,250
Immunity Boost,6/1/2021,210
Hair Serum,7/1/2021,520
Shampoo,7/1/2021,490
Conditioner,7/1/2021,488
Hair Mask,7/1/2021,473
Leave in,7/1/2021,460
Hair Treatment,7/1/2021,395
Oil,7/1/2021,385
Shower Gel,7/1/2021,405
Body Lotion,7/1/2021,460
Body Splash,7/1/2021,405
Roll-on,7/1/2021,420
Body Cream,7/1/2021,405
Body Soap,7/1/2021,455
Face Serum,7/1/2021,320
Face Cream,7/1/2021,345
Facial Cleanser,7/1/2021,270
Makeup Remover,7/1/2021,290
Eye Cream,7/1/2021,270
Immunity Boost,7/1/2021,220
Hair Serum,8/1/2021,630
Shampoo,8/1/2021,564
Conditioner,8/1/2021,555
Hair Mask,8/1/2021,542
Leave in,8/1/2021,530
Hair Treatment,8/1/2021,460
Oil,8/1/2021,450
Shower Gel,8/1/2021,470
Body Lotion,8/1/2021,530
Body Splash,8/1/2021,470
Roll-on,8/1/2021,485
Body Cream,8/1/2021,470
Body Soap,8/1/2021,520
Face Serum,8/1/2021,355
Face Cream,8/1/2021,375
Facial Cleanser,8/1/2021,300
Makeup Remover,8/1/2021,320
Eye Cream,8/1/2021,295
Immunity Boost,8/1/2021,230
Hair Serum,9/1/2021,690
Shampoo,9/1/2021,598
Conditioner,9/1/2021,603
Hair Mask,9/1/2021,544
Leave in,9/1/2021,590
Hair Treatment,9/1/2021,520
Oil,9/1/2021,510
Shower Gel,9/1/2021,530
Body Lotion,9/1/2021,590
Body Splash,9/1/2021,530
Roll-on,9/1/2021,545
Body Cream,9/1/2021,530
Body Soap,9/1/2021,580
Face Serum,9/1/2021,380
Face Cream,9/1/2021,400
Facial Cleanser,9/1/2021,330
Makeup Remover,9/1/2021,350
Eye Cream,9/1/2021,320
Immunity Boost,9/1/2021,240
Hair Serum,10/1/2021,733
Shampoo,10/1/2021,663
Conditioner,10/1/2021,694
Hair Mask,10/1/2021,598
Leave in,10/1/2021,630
Hair Treatment,10/1/2021,560
Oil,10/1/2021,550
Shower Gel,10/1/2021,570
Body Lotion,10/1/2021,630
Body Splash,10/1/2021,570
Roll-on,10/1/2021,585
Body Cream,10/1/2021,570
Body Soap,10/1/2021,625
Face Serum,10/1/2021,410
Face Cream,10/1/2021,430
Facial Cleanser,10/1/2021,355
Makeup Remover,10/1/2021,375
Eye Cream,10/1/2021,350
Immunity Boost,10/1/2021,250
Hair Serum,11/1/2021,850
Shampoo,11/1/2021,799
Conditioner,11/1/2021,753
Hair Mask,11/1/2021,677
Leave in,11/1/2021,710
Hair Treatment,11/1/2021,670
Oil,11/1/2021,685
Shower Gel,11/1/2021,690
Body Lotion,11/1/2021,730
Body Splash,11/1/2021,610
Roll-on,11/1/2021,630
Body Cream,11/1/2021,600
Body Soap,11/1/2021,655
Face Serum,11/1/2021,440
Face Cream,11/1/2021,460
Facial Cleanser,11/1/2021,385
Makeup Remover,11/1/2021,405
Eye Cream,11/1/2021,375
Immunity Boost,11/1/2021,260
Hair Serum,12/1/2021,910
Shampoo,12/1/2021,813
Conditioner,12/1/2021,842
Hair Mask,12/1/2021,700
Leave in,12/1/2021,770
Hair Treatment,12/1/2021,720
Oil,12/1/2021,740
Shower Gel,12/1/2021,735
Body Lotion,12/1/2021,790
Body Splash,12/1/2021,660
Roll-on,12/1/2021,680
Body Cream,12/1/2021,645
Body Soap,12/1/2021,710
Face Serum,12/1/2021,470
Face Cream,12/1/2021,495
Facial Cleanser,12/1/2021,410
Makeup Remover,12/1/2021,430
Eye Cream,12/1/2021,405
Immunity Boost,12/1/2021,280
Hair Serum,1/1/2022,433
Shampoo,1/1/2022,290
Conditioner,1/1/2022,292
Hair Mask,1/1/2022,197
Leave in,1/1/2022,189
Hair Treatment,1/1/2022,194
Oil,1/1/2022,262
Shower Gel,1/1/2022,278
Body Lotion,1/1/2022,193
Body Splash,1/1/2022,206
Roll-on,1/1/2022,283
Body Cream,1/1/2022,187
Body Soap,1/1/2022,185
Face Serum,1/1/2022,211
Face Cream,1/1/2022,210
Facial Cleanser,1/1/2022,433
Makeup Remover,1/1/2022,165
Eye Cream,1/1/2022,156
Immunity Boost,1/1/2022,300
Hair Serum,2/1/2022,498
Shampoo,2/1/2022,345
Conditioner,2/1/2022,336
Hair Mask,2/1/2022,246
Leave in,2/1/2022,240
Hair Treatment,2/1/2022,250
Oil,2/1/2022,339
Shower Gel,2/1/2022,314
Body Lotion,2/1/2022,259
Body Splash,2/1/2022,244
Roll-on,2/1/2022,385
Body Cream,2/1/2022,263
Body Soap,2/1/2022,265
Face Serum,2/1/2022,244
Face Cream,2/1/2022,251
Facial Cleanser,2/1/2022,463
Makeup Remover,2/1/2022,265
Eye Cream,2/1/2022,278
Immunity Boost,2/1/2022,320
Hair Serum,3/1/2022,566
Shampoo,3/1/2022,466
Conditioner,3/1/2022,391
Hair Mask,3/1/2022,320
Leave in,3/1/2022,289
Hair Treatment,3/1/2022,325
Oil,3/1/2022,467
Shower Gel,3/1/2022,357
Body Lotion,3/1/2022,285
Body Splash,3/1/2022,299
Roll-on,3/1/2022,465
Body Cream,3/1/2022,288
Body Soap,3/1/2022,281
Face Serum,3/1/2022,336
Face Cream,3/1/2022,328
Facial Cleanser,3/1/2022,552
Makeup Remover,3/1/2022,290
Eye Cream,3/1/2022,293
Immunity Boost,3/1/2022,340
Hair Serum,4/1/2022,598
Shampoo,4/1/2022,503
Conditioner,4/1/2022,465
Hair Mask,4/1/2022,399
Leave in,4/1/2022,389
Hair Treatment,4/1/2022,383
Oil,4/1/2022,486
Shower Gel,4/1/2022,433
Body Lotion,4/1/2022,394
Body Splash,4/1/2022,396
Roll-on,4/1/2022,488
Body Cream,4/1/2022,405
Body Soap,4/1/2022,382
Face Serum,4/1/2022,406
Face Cream,4/1/2022,431
Facial Cleanser,4/1/2022,560
Makeup Remover,4/1/2022,376
Eye Cream,4/1/2022,387
Immunity Boost,4/1/2022,360
Hair Serum,5/1/2022,676
Shampoo,5/1/2022,588
Conditioner,5/1/2022,512
Hair Mask,5/1/2022,451
Leave in,5/1/2022,413
Hair Treatment,5/1/2022,405
Oil,5/1/2022,547
Shower Gel,5/1/2022,510
Body Lotion,5/1/2022,412
Body Splash,5/1/2022,426
Roll-on,5/1/2022,606
Body Cream,5/1/2022,384
Body Soap,5/1/2022,381
Face Serum,5/1/2022,440
Face Cream,5/1/2022,465
Facial Cleanser,5/1/2022,664
Makeup Remover,5/1/2022,369
Eye Cream,5/1/2022,379
Immunity Boost,5/1/2022,380
Hair Serum,6/1/2022,756
Shampoo,6/1/2022,656
Conditioner,6/1/2022,640
Hair Mask,6/1/2022,612
Leave in,6/1/2022,582
Hair Treatment,6/1/2022,589
Oil,6/1/2022,631
Shower Gel,6/1/2022,618
Body Lotion,6/1/2022,588
Body Splash,6/1/2022,598
Roll-on,6/1/2022,679
Body Cream,6/1/2022,580
Body Soap,6/1/2022,549
Face Serum,6/1/2022,610
Face Cream,6/1/2022,618
Facial Cleanser,6/1/2022,728
Makeup Remover,6/1/2022,519
Eye Cream,6/1/2022,530
Immunity Boost,6/1/2022,400
Hair Serum,7/1/2022,855
Shampoo,7/1/2022,764
Conditioner,7/1/2022,733
Hair Mask,7/1/2022,687
Leave in,7/1/2022,658
Hair Treatment,7/1/2022,663
Oil,7/1/2022,732
Shower Gel,7/1/2022,699
Body Lotion,7/1/2022,680
Body Splash,7/1/2022,692
Roll-on,7/1/2022,770
Body Cream,7/1/2022,655
Body Soap,7/1/2022,626
Face Serum,7/1/2022,719
Face Cream,7/1/2022,712
Facial Cleanser,7/1/2022,810
Makeup Remover,7/1/2022,609
Eye Cream,7/1/2022,615
Immunity Boost,7/1/2022,420
Hair Serum,8/1/2022,897
Shampoo,8/1/2022,823
Conditioner,8/1/2022,801
Hair Mask,8/1/2022,754
Leave in,8/1/2022,709
Hair Treatment,8/1/2022,709
Oil,8/1/2022,819
Shower Gel,8/1/2022,796
Body Lotion,8/1/2022,717
Body Splash,8/1/2022,732
Roll-on,8/1/2022,830
Body Cream,8/1/2022,688
Body Soap,8/1/2022,645
Face Serum,8/1/2022,776
Face Cream,8/1/2022,767
Facial Cleanser,8/1/2022,856
Makeup Remover,8/1/2022,640
Eye Cream,8/1/2022,645
Immunity Boost,8/1/2022,440
Hair Serum,9/1/2022,956
Shampoo,9/1/2022,901
Conditioner,9/1/2022,897
Hair Mask,9/1/2022,786
Leave in,9/1/2022,765
Hair Treatment,9/1/2022,734
Oil,9/1/2022,873
Shower Gel,9/1/2022,876
Body Lotion,9/1/2022,801
Body Splash,9/1/2022,769
Roll-on,9/1/2022,920
Body Cream,9/1/2022,754
Body Soap,9/1/2022,725
Face Serum,9/1/2022,806
Face Cream,9/1/2022,807
Facial Cleanser,9/1/2022,931
Makeup Remover,9/1/2022,701
Eye Cream,9/1/2022,722
Immunity Boost,9/1/2022,460
Hair Serum,10/1/2022,1032
Shampoo,10/1/2022,1020
Conditioner,10/1/2022,988
Hair Mask,10/1/2022,832
Leave in,10/1/2022,788
Hair Treatment,10/1/2022,811
Oil,10/1/2022,990
Shower Gel,10/1/2022,964
Body Lotion,10/1/2022,784
Body Splash,10/1/2022,803
Roll-on,10/1/2022,1025
Body Cream,10/1/2022,756
Body Soap,10/1/2022,720
Face Serum,10/1/2022,808
Face Cream,10/1/2022,835
Facial Cleanser,10/1/2022,990
Makeup Remover,10/1/2022,711
Eye Cream,10/1/2022,735
Immunity Boost,10/1/2022,480
Hair Serum,11/1/2022,1298
Shampoo,11/1/2022,1130
Conditioner,11/1/2022,1013
Hair Mask,11/1/2022,914
Leave in,11/1/2022,881
Hair Treatment,11/1/2022,887
Oil,11/1/2022,1096
Shower Gel,11/1/2022,992
Body Lotion,11/1/2022,902
Body Splash,11/1/2022,878
Roll-on,11/1/2022,1167
Body Cream,11/1/2022,893
Body Soap,11/1/2022,852
Face Serum,11/1/2022,882
Face Cream,11/1/2022,867
Facial Cleanser,11/1/2022,1254
Makeup Remover,11/1/2022,833
Eye Cream,11/1/2022,855
Immunity Boost,11/1/2022,500
Hair Serum,12/1/2022,1420
Shampoo,12/1/2022,1346
Conditioner,12/1/2022,1270
Hair Mask,12/1/2022,956
Leave in,12/1/2022,940
Hair Treatment,12/1/2022,938
Oil,12/1/2022,1295
Shower Gel,12/1/2022,1239
Body Lotion,12/1/2022,952
Body Splash,12/1/2022,949
Roll-on,12/1/2022,1390
Body Cream,12/1/2022,932
Body Soap,12/1/2022,897
Face Serum,12/1/2022,964
Face Cream,12/1/2022,949
Facial Cleanser,12/1/2022,1373
Makeup Remover,12/1/2022,858
Eye Cream,12/1/2022,891
Immunity Boost,12/1/2022,550
Hair Serum,1/1/2023,840
