Category,Date,Sales
Hair Serum,1/1/2022,433
Shampoo,1/1/2022,290
Conditioner,1/1/2022,292
Hair Mask,1/1/2022,197
Leave in,1/1/2022,189
Hair Treatment,1/1/2022,194
Oil,1/1/2022,262
Shower Gel,1/1/2022,278
Body Lotion,1/1/2022,193
Body Splash,1/1/2022,206
Roll-on,1/1/2022,283
Body Cream,1/1/2022,187
Body Soap,1/1/2022,185
Face Serum,1/1/2022,211
Face Cream,1/1/2022,210
Facial Cleanser,1/1/2022,433
Makeup Remover,1/1/2022,165
Eye Cream,1/1/2022,156
Immunity Boost,1/1/2022,300
Hair Serum,2/1/2022,498
Shampoo,2/1/2022,345
Conditioner,2/1/2022,336
Hair Mask,2/1/2022,246
Leave in,2/1/2022,240
Hair Treatment,2/1/2022,250
Oil,2/1/2022,339
Shower Gel,2/1/2022,314
Body Lotion,2/1/2022,259
Body Splash,2/1/2022,244
Roll-on,2/1/2022,385
Body Cream,2/1/2022,263
Body Soap,2/1/2022,265
Face Serum,2/1/2022,244
Face Cream,2/1/2022,251
Facial Cleanser,2/1/2022,463
Makeup Remover,2/1/2022,265
Eye Cream,2/1/2022,278
Immunity Boost,2/1/2022,320
Hair Serum,3/1/2022,566
Shampoo,3/1/2022,466
Conditioner,3/1/2022,391
Hair Mask,3/1/2022,320
Leave in,3/1/2022,289
Hair Treatment,3/1/2022,325
Oil,3/1/2022,467
Shower Gel,3/1/2022,357
Body Lotion,3/1/2022,285
Body Splash,3/1/2022,299
Roll-on,3/1/2022,465
Body Cream,3/1/2022,288
Body Soap,3/1/2022,281
Face Serum,3/1/2022,336
Face Cream,3/1/2022,328
Facial Cleanser,3/1/2022,552
Makeup Remover,3/1/2022,290
Eye Cream,3/1/2022,293
Immunity Boost,3/1/2022,340
Hair Serum,4/1/2022,598
Shampoo,4/1/2022,503
Conditioner,4/1/2022,465
Hair Mask,4/1/2022,399
Leave in,4/1/2022,389
Hair Treatment,4/1/2022,383
Oil,4/1/2022,486
Shower Gel,4/1/2022,433
Body Lotion,4/1/2022,394
Body Splash,4/1/2022,396
Roll-on,4/1/2022,488
Body Cream,4/1/2022,405
Body Soap,4/1/2022,382
Face Serum,4/1/2022,406
Face Cream,4/1/2022,431
Facial Cleanser,4/1/2022,560
Makeup Remover,4/1/2022,376
Eye Cream,4/1/2022,387
Immunity Boost,4/1/2022,360
Hair Serum,5/1/2022,676
Shampoo,5/1/2022,588
Conditioner,5/1/2022,512
Hair Mask,5/1/2022,451
Leave in,5/1/2022,413
Hair Treatment,5/1/2022,405
Oil,5/1/2022,547
Shower Gel,5/1/2022,510
Body Lotion,5/1/2022,412
Body Splash,5/1/2022,426
Roll-on,5/1/2022,606
Body Cream,5/1/2022,384
Body Soap,5/1/2022,381
Face Serum,5/1/2022,440
Face Cream,5/1/2022,465
Facial Cleanser,5/1/2022,664
Makeup Remover,5/1/2022,369
Eye Cream,5/1/2022,379
Immunity Boost,5/1/2022,380
Hair Serum,6/1/2022,756
Shampoo,6/1/2022,656
Conditioner,6/1/2022,640
Hair Mask,6/1/2022,612
Leave in,6/1/2022,582
Hair Treatment,6/1/2022,589
Oil,6/1/2022,631
Shower Gel,6/1/2022,618
Body Lotion,6/1/2022,588
Body Splash,6/1/2022,598
Roll-on,6/1/2022,679
Body Cream,6/1/2022,580
Body Soap,6/1/2022,549
Face Serum,6/1/2022,610
Face Cream,6/1/2022,618
