Category,ABC_Class,Annual_Demand,Unit_Cost,Ordering_Cost,Holding_Cost_Percent,Holding_Cost_Per_Unit,EOQ,Order_Frequency,Order_Cycle_Days,Total_Ordering_Cost,Total_Holding_Cost,Total_Cost,Lead_Time_Days,Initial_Stock
Body Cream,A,132964,210,500,0.02,0.042,56265.53,2.36,154.45,1181.58,1181.58,2363.15,14,7800
Body Lotion,A,142626,200,500,0.02,0.04,59713.06,2.39,152.81,1194.26,1194.26,2388.52,14,7600
Body Soap,C,135909,160,500,0.02,0.032,65170.21,2.09,175.02,1042.72,1042.72,2085.45,14,8200
Body Splash,B,135062,180,500,0.02,0.036000000000000004,61251.3,2.21,165.53,1102.52,1102.52,2205.05,14,7400
Conditioner,A,138991,200,500,0.02,0.04,58947.22,2.36,154.8,1178.94,1178.94,2357.89,14,8340
Eye Cream,A,161928,240,500,0.02,0.048,58081.84,2.79,130.92,1393.96,1393.96,2787.93,14,6000
Face Cream,A,147536,230,500,0.02,0.046,56633.07,2.61,140.11,1302.56,1302.56,2605.12,14,6500
Face Serum,A,140423,300,500,0.02,0.060000000000000005,48377.51,2.9,125.75,1451.33,1451.33,2902.65,14,6200
Facial Cleanser,A,142919,190,500,0.02,0.038,61327.21,2.33,156.62,1165.22,1165.22,2330.43,14,7000
Hair Mask,B,128238,210,500,0.02,0.042,55256.54,2.32,157.28,1160.39,1160.39,2320.77,14,8000
Hair Serum,A,149502,280,500,0.02,0.056,51668.93,2.89,126.15,1446.73,1446.73,2893.46,14,9750
Hair Treatment,A,132460,260,500,0.02,0.052000000000000005,50470.86,2.62,139.07,1312.24,1312.24,2624.48,14,7200
Immunity Boost,C,41810,320,500,0.02,0.064,25559.37,1.64,223.13,817.9,817.9,1635.8,14,5500
Leave in,A,139069,220,500,0.02,0.044000000000000004,56219.74,2.47,147.55,1236.83,1236.83,2473.67,14,7600
Makeup Remover,A,146609,200,500,0.02,0.04,60541.1,2.42,150.72,1210.82,1210.82,2421.64,14,6800
Oil,A,145837,240,500,0.02,0.048,55120.51,2.65,137.96,1322.89,1322.89,2645.78,14,7100
Roll-on,B,147883,150,500,0.02,0.030000000000000002,70209.92,2.11,173.29,1053.15,1053.15,2106.3,14,8000
Shampoo,A,140317,200,500,0.02,0.04,59227.74,2.37,154.07,1184.55,1184.55,2369.11,14,9120
Shower Gel,B,135062,190,500,0.02,0.038,59617.64,2.27,161.11,1132.74,1132.74,2265.47,14,8500
