Category,ABC_Class,Lead_Time_Days,Daily_Demand,Daily_Std_Dev,Service_Level,Z_Score,Safety_Stock,Demand_During_LeadTime,Reorder_Point,Max_Inventory_Level,EOQ,Current_Stock,Stock_Status,Order_Urgency
Body Cream,A,14,364.28,57.91,0.98,2.054,444.97,5099.99,5544.96,56710.5,56265.53,7800,Normal,0
Body Lotion,A,14,390.76,62.12,0.98,2.054,477.37,5470.59,5947.96,60190.43,59713.06,7600,Normal,0
Body Soap,C,14,372.35,59.19,0.9,1.282,283.83,5212.95,5496.78,65454.04,65170.21,8200,Normal,0
Body Splash,B,14,370.03,58.87,0.95,1.645,362.33,5180.46,5542.79,61613.63,61251.3,7400,Normal,0
Conditioner,A,14,380.8,60.54,0.98,2.054,465.23,5331.16,5796.39,59412.45,58947.22,8340,Normal,0
Eye Cream,A,14,443.64,70.52,0.98,2.054,541.94,6210.94,6752.87,58623.78,58081.84,6000,Monitor Closely,0
Face Cream,A,14,404.21,64.27,0.98,2.054,493.9,5658.92,6152.81,57126.97,56633.07,6500,Normal,0
Face Serum,A,14,384.72,61.18,0.98,2.054,470.1,5386.09,5856.19,48847.61,48377.51,6200,Normal,0
Facial Cleanser,A,14,391.56,62.26,0.98,2.054,478.45,5481.82,5960.28,61805.66,61327.21,7000,Normal,0
Hair Mask,B,14,351.34,55.88,0.95,1.645,343.94,4918.72,5262.66,55600.48,55256.54,8000,Normal,0
Hair Serum,A,14,409.59,65.12,0.98,2.054,500.41,5734.32,6234.73,52169.34,51668.93,9750,Normal,0
Hair Treatment,A,14,362.9,57.72,0.98,2.054,443.52,5080.66,5524.18,50914.38,50470.86,7200,Normal,0
Immunity Boost,C,14,114.55,18.26,0.9,1.282,87.55,1603.67,1691.22,25646.92,25559.37,5500,Normal,0
Leave in,A,14,381.01,60.57,0.98,2.054,465.47,5334.15,5799.62,56685.21,56219.74,7600,Normal,0
Makeup Remover,A,14,401.67,63.87,0.98,2.054,490.84,5623.36,6114.19,61031.94,60541.1,6800,Normal,0
Oil,A,14,399.55,63.54,0.98,2.054,488.26,5593.75,6082.0,55608.77,55120.51,7100,Normal,0
Roll-on,B,14,405.16,64.47,0.95,1.645,396.8,5672.22,6069.02,70606.72,70209.92,8000,Normal,0
Shampoo,A,14,384.43,61.13,0.98,2.054,469.75,5382.02,5851.78,59697.49,59227.74,9120,Normal,0
Shower Gel,B,14,370.03,58.87,0.95,1.645,362.33,5180.46,5542.79,59979.97,59617.64,8500,Normal,0
