Category,ABC_Class,Annual_Demand,Unit_Cost,Ordering_Cost,Holding_Cost_Percent,Holding_Cost_Per_Unit,EOQ,Order_Frequency,Order_Cycle_Days,Total_Ordering_Cost,Total_Holding_Cost,Total_Cost,Lead_Time_Days,Initial_Stock,Monthly_Order_Quantity,Current_Ordering_Cost,Current_Holding_Cost,Current_Total_Cost,Cost_Saving,Saving_Percentage
Body Cream,A,132964,210,500,0.02,0.042,56265.53,2.36,154.45,1181.58,1181.58,2363.15,14,7800,11080.333333333334,6000,232.68700000000004,6232.687,3869.537,62.08457122907022
Body Lotion,A,142626,200,500,0.02,0.04,59713.06,2.39,152.81,1194.26,1194.26,2388.52,14,7600,11885.5,6000,237.71,6237.71,3849.19,61.70838336504904
Body Soap,C,135909,160,500,0.02,0.032,65170.21,2.09,175.02,1042.72,1042.72,2085.45,14,8200,11325.75,6000,181.21200000000002,6181.212,4095.7620000000006,66.26147105130839
Body Splash,B,135062,180,500,0.02,0.036000000000000004,61251.3,2.21,165.53,1102.52,1102.52,2205.05,14,7400,11255.166666666666,6000,202.59300000000002,6202.593,3997.5429999999997,64.44954553684241
Conditioner,A,138991,200,500,0.02,0.04,58947.22,2.36,154.8,1178.94,1178.94,2357.89,14,8340,11582.583333333334,6000,231.65166666666667,6231.651666666667,3873.7616666666668,62.16267971760296
Eye Cream,A,161928,240,500,0.02,0.048,58081.84,2.79,130.92,1393.96,1393.96,2787.93,14,6000,13494.0,6000,323.856,6323.856,3535.926,55.91408153506342
Face Cream,A,147536,230,500,0.02,0.046,56633.07,2.61,140.11,1302.56,1302.56,2605.12,14,6500,12294.666666666666,6000,282.77733333333333,6282.777333333333,3677.6573333333336,58.535535133825114
Face Serum,A,140423,300,500,0.02,0.060000000000000005,48377.51,2.9,125.75,1451.33,1451.33,2902.65,14,6200,11701.916666666666,6000,351.0575,6351.0575,3448.4075,54.29658761552702
Facial Cleanser,A,142919,190,500,0.02,0.038,61327.21,2.33,156.62,1165.22,1165.22,2330.43,14,7000,11909.916666666666,6000,226.28841666666665,6226.288416666666,3895.8584166666665,62.57112032006334
Hair Mask,B,128238,210,500,0.02,0.042,55256.54,2.32,157.28,1160.39,1160.39,2320.77,14,8000,10686.5,6000,224.4165,6224.4165,3903.6465000000003,62.71505931519846
Hair Serum,A,149502,280,500,0.02,0.056,51668.93,2.89,126.15,1446.73,1446.73,2893.46,14,9750,12458.5,6000,348.838,6348.838,3455.3779999999997,54.425360987317674
Hair Treatment,A,132460,260,500,0.02,0.052000000000000005,50470.86,2.62,139.07,1312.24,1312.24,2624.48,14,7200,11038.333333333334,6000,286.9966666666667,6286.996666666667,3662.516666666667,58.25542561657686
Immunity Boost,C,41810,320,500,0.02,0.064,25559.37,1.64,223.13,817.9,817.9,1635.8,14,5500,3484.1666666666665,6000,111.49333333333333,6111.493333333333,4475.693333333333,73.23403772564043
Leave in,A,139069,220,500,0.02,0.044000000000000004,56219.74,2.47,147.55,1236.83,1236.83,2473.67,14,7600,11589.083333333334,6000,254.95983333333336,6254.959833333333,3781.2898333333333,60.452663711482934
Makeup Remover,A,146609,200,500,0.02,0.04,60541.1,2.42,150.72,1210.82,1210.82,2421.64,14,6800,12217.416666666666,6000,244.34833333333333,6244.348333333333,3822.7083333333335,61.21869135530289
Oil,A,145837,240,500,0.02,0.048,55120.51,2.65,137.96,1322.89,1322.89,2645.78,14,7100,12153.083333333334,6000,291.67400000000004,6291.674,3645.894,57.947916564017774
Roll-on,B,147883,150,500,0.02,0.030000000000000002,70209.92,2.11,173.29,1053.15,1053.15,2106.3,14,8000,12323.583333333334,6000,184.85375000000002,6184.85375,4078.55375,65.94422301416586
Shampoo,A,140317,200,500,0.02,0.04,59227.74,2.37,154.07,1184.55,1184.55,2369.11,14,9120,11693.083333333334,6000,233.86166666666668,6233.861666666667,3864.7516666666666,61.99610888595806
Shower Gel,B,135062,190,500,0.02,0.038,59617.64,2.27,161.11,1132.74,1132.74,2265.47,14,8500,11255.166666666666,6000,213.84816666666666,6213.848166666667,3948.378166666667,63.541593884562516
